date_id,farmer_key,land_key,crop_key,field_key,fertilizer_key,yeild
1,1,2,1,1,14,50
2,2,4,3,3,13,20
3,3,6,5,5,12,35
4,4,8,7,7,11,20
5,5,10,9,11,10,12.5
6,6,12,11,13,9,5
7,7,14,13,17,8,13
8,8,16,15,19,7,10
9,9,18,17,23,6,17.5
10,10,20,19,2,5,25
11,11,22,21,4,4,32.5
12,12,1,23,6,3,40
13,13,3,2,8,2,47.5
14,14,5,4,9,1,55
15,15,7,6,10,2,62.5
16,16,9,8,14,4,70
17,17,11,10,15,6,77.5
18,18,13,12,16,8,85
19,19,15,14,18,10,92.5
20,20,17,16,20,12,100
21,21,19,18,21,14,107.5
22,22,21,20,22,1,115
23,23,23,22,24,2,122.5
24,24,25,24,25,3,130
25,25,24,25,12,4,137.5
